"state","county","kfr_pooled_pooled_p25","kfr_pooled_pooled_p75"
17,153,0.38525611,0.53378552
17,155,0.46053743,0.61311162
17,157,0.45132351,0.64046907
17,159,0.44004682,0.63063747
17,161,0.40992674,0.59791565
17,163,0.36866993,0.58716035
17,165,0.42311797,0.61276484
17,167,0.3796902,0.58848643
17,169,0.43232608,0.62511027
17,171,0.4539035,0.63944447
17,173,0.45742145,0.63467091
17,175,0.44010982,0.62784505
17,177,0.40041533,0.59429842
17,179,0.41260421,0.59462756
17,181,0.41582689,0.60283053
17,183,0.38480783,0.58223152
17,185,0.47200423,0.63324183
17,187,0.43687811,0.60363907
17,189,0.48505965,0.64440787
17,191,0.44733635,0.63605309
17,193,0.46639982,0.62018043
17,195,0.42466298,0.60144538
17,197,0.41075709,0.59489197
17,199,0.40720248,0.58511275
17,201,0.37577266,0.56173855
17,203,0.45278448,0.62978595
18,0,0.412006703043478,0.585457622608696
18,1,0.43990657,0.62769586
18,3,0.38412887,0.58048129
18,5,0.37861368,0.57126164
18,7,0.49011004,0.64326721
18,9,0.38065884,0.54595286
18,11,0.41333297,0.59562564
18,13,0.39675647,0.51936144
18,15,0.42828009,0.59487891
18,17,0.39768347,0.58698589
18,19,0.38787073,0.56448931
18,21,0.40795058,0.59761256
18,23,0.39960414,0.57707763
18,25,0.41521049,0.54594141
18,27,0.4592323,0.60397589
18,29,0.41568676,0.58395237
18,31,3.7478666,0.61566627
18,33,0.40510637,0.58594203
18,35,0.35640246,0.55484128
18,37,0.49933162,0.67126811
18,39,0.41013399,0.58013207
18,41,0.35974202,0.52617455
18,43,0.38521203,0.58220422
18,45,0.42933741,0.59922135
18,47,0.43506423,0.59933084
18,49,0.420252,0.6026994
18,51,0.44826996,0.61886948
18,53,0.35831994,0.54510027
18,55,0.42180967,0.58576679
18,57,0.438759,0.60059887
18,59,0.40661421,0.58378989
18,61,0.42563918,0.58947235
18,63,0.43114406,0.59206486
18,65,0.3753731,0.55364603
18,67,0.37289581,0.53138918
18,69,0.38585004,0.58623445
18,71,0.40978301,0.58319539
18,73,0.47309899,0.61945558
18,75,0.40656698,0.56706303
18,77,0.40975583,0.59029961
18,79,0.39321262,0.55750996
18,81,0.40886876,0.57591158
18,83,0.42885551,0.62239975
18,85,0.42852128,0.58252466
18,87,0.51378554,0.59807134
18,89,0.38606632,0.57452667
18,91,0.38435507,0.56777793
18,93,0.37797639,0.55358398
18,95,0.35349786,0.53960949
18,97,0.34407961,0.54006559
18,99,0.42408949,0.59951055
